furnishing,parking,bath,price,size,loc,sqft
Unfurnished,1,2,17000000,2,Andheri East Mumbai,660
Unfurnished,1,1,4000000,1,Andheri East Mumbai,240
Unfurnished,1,1,18000000,2,Andheri East Mumbai,650
Furnished,1,2,15000000,1,Andheri East Mumbai,720
Furnished,1,2,21200000,2,Andheri East Mumbai,825
Furnished,1,2,13000000,1,Andheri East Mumbai,408
Furnished,1,1,11500000,2,Andheri East Mumbai,720
Furnished,1,2,18500000,2,Andheri East Mumbai,750
Semi-Furnished,1,1,20000000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,13500000,1,Andheri East Mumbai,600
Unfurnished,1,1,3500000,1,Andheri East Mumbai,720
Unfurnished,1,1,12000000,1,Andheri East Mumbai,720
Semi-Furnished,1,1,2800000,1,Andheri East Mumbai,250
Unfurnished,1,2,9000000,1,Andheri East Mumbai,335
Semi-Furnished,1,2,19500000,2,Andheri East Mumbai,650
Semi-Furnished,2,4,44000000,5,Andheri East Mumbai,1300
Furnished,1,3,28500000,3,Andheri East Mumbai,1050
Unfurnished,1,2,13500000,1,Andheri East Mumbai,451
Semi-Furnished,1,1,15000000,1,Andheri East Mumbai,510
Unfurnished,1,2,19000000,2,Andheri East Mumbai,780
Unfurnished,1,2,16700000,2,Andheri East Mumbai,682
Unfurnished,1,1,9000000,1,Andheri East Mumbai,305
Semi-Furnished,1,2,10600000,1,Andheri East Mumbai,720
Furnished,1,2,12500000,1,Andheri East Mumbai,720
Unfurnished,1,2,12500000,1,Andheri East Mumbai,450
Semi-Furnished,1,2,17500000,2,Andheri East Mumbai,640
Semi-Furnished,1,2,13000000,2,Andheri East Mumbai,510
Semi-Furnished,1,2,22000000,2,Andheri East Mumbai,675
Furnished,1,2,21000000,2,Andheri East Mumbai,850
Unfurnished,1,1,1100000,1,Andheri East Mumbai,720
Semi-Furnished,1,1,11000000,1,Andheri East Mumbai,477
Unfurnished,1,1,12500000,1,Andheri East Mumbai,450
Unfurnished,1,2,14000000,2,Andheri East Mumbai,565
Unfurnished,1,3,25000000,2,Andheri East Mumbai,776
Unfurnished,1,3,20500000,3,Andheri East Mumbai,900
Unfurnished,1,1,12000000,1,Andheri East Mumbai,500
Semi-Furnished,1,2,13000000,1,Andheri East Mumbai,720
Unfurnished,1,1,15900000,2,Andheri East Mumbai,660
Semi-Furnished,1,3,30000000,3,Andheri East Mumbai,1070
Unfurnished,1,1,16000000,1,Andheri East Mumbai,450
Semi-Furnished,1,2,18000000,2,Andheri East Mumbai,710
Semi-Furnished,1,2,12200000,1,Andheri East Mumbai,436
Unfurnished,1,3,36500000,3,Andheri East Mumbai,1050
Furnished,1,2,14500000,1,Andheri East Mumbai,490
Unfurnished,1,2,15700000,2,Andheri East Mumbai,660
Furnished,1,1,10000000,1,Andheri East Mumbai,565
Semi-Furnished,1,2,14000000,1,Andheri East Mumbai,435
Unfurnished,1,2,15500000,1,Andheri East Mumbai,482
Semi-Furnished,1,3,41500000,3,Andheri East Mumbai,1304
Unfurnished,1,1,10000000,1,Andheri East Mumbai,393
Unfurnished,1,1,13000000,1,Andheri East Mumbai,720
Semi-Furnished,1,1,8300000,1,Andheri East Mumbai,308
Semi-Furnished,1,2,21500000,2,Andheri East Mumbai,720
Furnished,1,1,10000000,1,Andheri East Mumbai,450
Unfurnished,2,2,24000000,2,Andheri East Mumbai,696
Unfurnished,1,1,13000000,1,Andheri East Mumbai,525
Semi-Furnished,1,2,24000000,2,Andheri East Mumbai,750
Unfurnished,1,2,8500000,1,Andheri East Mumbai,720
Furnished,1,2,27500000,2,Andheri East Mumbai,900
Semi-Furnished,1,2,22000000,2,Andheri East Mumbai,848
Semi-Furnished,1,2,16600000,2,Andheri East Mumbai,710
Semi-Furnished,1,4,30000000,5,Andheri East Mumbai,720
Unfurnished,1,1,8200000,1,Andheri East Mumbai,720
Furnished,1,2,22200000,2,Andheri East Mumbai,700
Semi-Furnished,1,2,13900000,2,Andheri East Mumbai,650
Furnished,1,2,13500000,1,Andheri East Mumbai,720
Semi-Furnished,1,1,11000000,1,Andheri East Mumbai,300
Unfurnished,3,4,120000000,4,Andheri East Mumbai,2600
Furnished,1,2,20000000,2,Andheri East Mumbai,720
Unfurnished,1,2,13200000,1,Andheri East Mumbai,472
Unfurnished,2,2,32500000,2,Andheri East Mumbai,720
Furnished,1,2,17000000,2,Andheri East Mumbai,727
Unfurnished,1,3,36000000,3,Andheri East Mumbai,720
Furnished,1,2,21000000,2,Andheri East Mumbai,682
Semi-Furnished,2,1,10000000,1,Andheri East Mumbai,720
Furnished,1,2,20000000,2,Andheri East Mumbai,680
Unfurnished,1,2,19700000,2,Andheri East Mumbai,786
Unfurnished,1,2,15500000,1,Andheri East Mumbai,470
Semi-Furnished,1,3,16900000,3,Andheri East Mumbai,720
Unfurnished,1,1,4500000,1,Andheri East Mumbai,250
Semi-Furnished,1,3,32000000,3,Andheri East Mumbai,1580
Furnished,1,1,13500000,2,Andheri East Mumbai,675
Semi-Furnished,1,2,22500000,3,Andheri East Mumbai,946
Unfurnished,1,3,44000000,2,Andheri East Mumbai,1500
Furnished,1,2,25000000,2,Andheri East Mumbai,724
Semi-Furnished,1,1,9500000,1,Andheri East Mumbai,400
Unfurnished,1,2,15000000,1,Andheri East Mumbai,424
Unfurnished,1,2,11000000,1,Andheri East Mumbai,550
Furnished,1,2,7000000,3,Andheri East Mumbai,703
Semi-Furnished,1,2,13500000,1,Andheri East Mumbai,462
Furnished,1,2,23000000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,14000000,1,Andheri East Mumbai,467
Furnished,1,2,22900000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,13500000,1,Andheri East Mumbai,490
Unfurnished,1,2,12500000,1,Andheri East Mumbai,424
Furnished,1,1,13500000,1,Andheri East Mumbai,350
Semi-Furnished,1,1,9800000,1,Andheri East Mumbai,450
Semi-Furnished,1,3,30000000,3,Andheri East Mumbai,1100
Unfurnished,1,1,4600000,1,Andheri East Mumbai,225
Semi-Furnished,1,2,22500000,2,Andheri East Mumbai,820
Unfurnished,1,2,18500000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,15700000,2,Andheri East Mumbai,560
Furnished,1,2,22000000,2,Andheri East Mumbai,609
Semi-Furnished,1,3,40000000,3,Andheri East Mumbai,1050
Furnished,1,2,15500000,7,Andheri East Mumbai,720
Unfurnished,1,1,4100000,1,Andheri East Mumbai,225
Semi-Furnished,1,1,12500000,1,Andheri East Mumbai,720
Semi-Furnished,1,2,9000000,1,Andheri East Mumbai,395
Unfurnished,1,2,15000000,2,Andheri East Mumbai,660
Furnished,1,2,16500000,2,Andheri East Mumbai,700
Unfurnished,1,1,4000000,1,Andheri East Mumbai,720
Furnished,1,2,13900000,1,Andheri East Mumbai,460
Unfurnished,1,1,2000000,1,Andheri East Mumbai,720
Unfurnished,1,1,7690000,1,Andheri East Mumbai,720
Unfurnished,1,1,17000000,1,Andheri East Mumbai,613
Furnished,1,2,13900000,1,Andheri East Mumbai,720
Semi-Furnished,1,2,4000000,1,Andheri East Mumbai,720
Furnished,1,2,10800000,1,Andheri East Mumbai,450
Unfurnished,1,1,15000000,1,Andheri East Mumbai,720
Semi-Furnished,1,2,12000000,1,Andheri East Mumbai,550
Unfurnished,1,2,24000000,2,Andheri East Mumbai,687
Semi-Furnished,1,1,5500000,1,Andheri East Mumbai,720
Semi-Furnished,1,2,5100000,1,Andheri East Mumbai,720
Semi-Furnished,1,2,4000000,1,Andheri East Mumbai,500
Unfurnished,1,2,22500000,2,Andheri East Mumbai,800
Unfurnished,1,1,4500000,1,Andheri East Mumbai,228
Semi-Furnished,1,3,45300000,4,Andheri East Mumbai,1650
Semi-Furnished,1,2,14000000,2,Andheri East Mumbai,720
Unfurnished,1,2,4500000,1,Andheri East Mumbai,280
Unfurnished,1,3,12500000,3,Andheri East Nagpur,720
Semi-Furnished,1,2,28000000,2,Andheri East Mumbai,802
Semi-Furnished,1,2,10000000,1,Andheri East Mumbai,450
Unfurnished,1,2,22500000,2,Andheri East Mumbai,845
Furnished,1,2,45000000,2,Andheri East Mumbai,950
Furnished,1,2,11000000,1,Andheri East Mumbai,720
Unfurnished,1,1,7800000,1,Andheri East Mumbai,300
Unfurnished,1,1,4500000,1,Andheri East Mumbai,225
Semi-Furnished,1,2,23000000,2,Andheri East Mumbai,650
Furnished,1,2,21600000,3,Andheri East Mumbai,720
Semi-Furnished,1,1,12000000,1,Andheri East Mumbai,470
Furnished,1,4,48500000,4,Andheri East Mumbai,1560
Semi-Furnished,1,2,16000000,1,Andheri East Mumbai,396
Furnished,1,3,21000000,3,Andheri East Mumbai,1250
Unfurnished,1,2,24000000,3,Andheri East Mumbai,720
Unfurnished,1,1,14000000,1,Andheri East Mumbai,720
Unfurnished,1,1,4600000,1,Andheri East Mumbai,225
Unfurnished,1,2,12000000,1,Andheri East Mumbai,425
Unfurnished,1,2,19000000,2,Andheri East Mumbai,550
Semi-Furnished,1,3,23000000,3,Andheri East Mumbai,1200
Furnished,1,2,10900000,1,Andheri East Mumbai,430
Furnished,1,2,15000000,2,Andheri East Mumbai,600
Unfurnished,1,1,13500000,1,Andheri East Mumbai,361
Unfurnished,1,2,28500000,2,Andheri East Mumbai,1540
Semi-Furnished,1,1,18500000,1,Andheri East Mumbai,497
Unfurnished,1,2,9500000,1,Andheri East Mumbai,406
Semi-Furnished,2,2,9700000,1,Andheri East Mumbai,425
Semi-Furnished,1,2,23500000,2,Andheri East Mumbai,950
Furnished,1,3,30000000,3,Andheri East Mumbai,885
Furnished,1,2,13000000,2,Andheri East Mumbai,720
Unfurnished,2,2,15500000,2,Andheri East Mumbai,495
Semi-Furnished,1,3,27000000,2,Andheri East Mumbai,720
Unfurnished,1,2,11000000,1,Andheri East Mumbai,720
Semi-Furnished,1,2,13200000,1,Andheri East Mumbai,448
Unfurnished,1,2,16000000,1,Andheri East Mumbai,531
Semi-Furnished,2,4,35000000,4,Andheri East Mumbai,720
Unfurnished,1,1,10000000,1,Andheri East Mumbai,436
Unfurnished,1,2,15000000,1,Andheri East Mumbai,412
Furnished,1,2,19000000,2,Andheri East Mumbai,699
Unfurnished,1,2,15500000,2,Andheri East Mumbai,615
Semi-Furnished,1,2,15200000,2,Andheri East Mumbai,600
Unfurnished,1,3,56700000,3,Andheri East Mumbai,1657
Semi-Furnished,1,3,47100000,3,Andheri East Mumbai,1016
Unfurnished,1,2,23300000,3,Andheri East Mumbai,713
Semi-Furnished,1,4,60000000,3,Andheri East Mumbai,1500
Unfurnished,1,2,13500000,1,Andheri East Mumbai,440
Semi-Furnished,1,2,11600000,1,Andheri East Mumbai,424
Semi-Furnished,1,3,25000000,3,Andheri East Mumbai,904
Unfurnished,1,3,32500000,3,Andheri East Mumbai,1140
Unfurnished,1,2,18300000,2,Andheri East Mumbai,747
Furnished,2,5,53000000,4,Andheri East Mumbai,1866
Unfurnished,2,3,35400000,3,Andheri East Mumbai,1076
Unfurnished,1,2,16000000,2,Andheri East Mumbai,650
Unfurnished,1,2,12600000,2,Andheri East Mumbai,425
Unfurnished,1,2,18500000,2,Andheri East Mumbai,665
Semi-Furnished,2,4,57000000,3,Andheri East Mumbai,1321
Unfurnished,1,3,32000000,3,Andheri East Mumbai,990
Semi-Furnished,2,4,80000000,6,Andheri East Mumbai,1974
Unfurnished,1,3,22500000,3,Andheri East Mumbai,1062
Unfurnished,1,3,26000000,3,Andheri East Mumbai,940
Semi-Furnished,1,2,17100000,2,Andheri East Mumbai,690
Furnished,1,2,8630000,2,Andheri East Mumbai,425
Semi-Furnished,1,2,22000000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,12300000,1,Andheri East Mumbai,508
Unfurnished,1,2,8700000,1,Andheri East Mumbai,399
Unfurnished,1,2,17000000,2,Andheri East Mumbai,613
Unfurnished,1,2,11600000,1,Andheri East Mumbai,435
Unfurnished,1,2,9500000,1,Andheri East Mumbai,450
Semi-Furnished,1,2,20500000,2,Andheri East Mumbai,620
Unfurnished,1,2,42500000,3,Andheri East Mumbai,720
Unfurnished,1,2,35500000,3,Andheri East Mumbai,865
Unfurnished,1,2,18000000,2,Andheri East Mumbai,540
Semi-Furnished,1,2,21000000,2,Andheri East Mumbai,850
Semi-Furnished,1,3,34500000,3,Andheri East Mumbai,990
Unfurnished,1,2,25500000,2,Andheri East Mumbai,840
Unfurnished,1,3,26500000,3,Andheri East Mumbai,1000
Unfurnished,2,3,36000000,3,Andheri East Mumbai,1060
Semi-Furnished,2,5,63000000,4,Andheri East Mumbai,1690
Unfurnished,2,2,27500000,3,Andheri East Mumbai,860
Unfurnished,1,2,16000000,2,Andheri East Mumbai,615
