furnishing,parking,bath,price,size,loc,sqft
Unfurnished,1,2,16500000,2,Goregaon West Mumbai,645
Unfurnished,1,3,39500000,3,Goregaon West Mumbai,997
Semi-Furnished,1,2,9200000,1,Goregaon West Mumbai,385
Furnished,1,2,21000000,2,Goregaon West Mumbai,690
Unfurnished,1,2,33000000,2,Goregaon West Mumbai,881
Unfurnished,1,2,18500000,2,Goregaon West Mumbai,627
Unfurnished,1,2,9650000,1,Goregaon West Mumbai,435
Semi-Furnished,1,2,24000000,2,Goregaon West Mumbai,870
Unfurnished,1,3,16500000,2,Goregaon West Mumbai,620
Semi-Furnished,2,4,137500000,4,Goregaon West Mumbai,2800
Unfurnished,1,2,9500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,17400000,2,Goregaon West Mumbai,618
Unfurnished,1,2,16500000,2,Goregaon West Mumbai,620
Unfurnished,1,2,18000000,2,Goregaon West Mumbai,627
Unfurnished,1,2,20200000,2,Goregaon West Mumbai,638
Semi-Furnished,1,3,55000000,3,Goregaon West Mumbai,1200
Semi-Furnished,1,2,29000000,3,Goregaon West Mumbai,1050
Unfurnished,1,2,9500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,26900000,2,Goregaon West Mumbai,900
Unfurnished,2,3,26000000,3,Goregaon West Mumbai,896
Unfurnished,1,2,10900000,1,Goregaon West Mumbai,474
Semi-Furnished,2,3,33000000,3,Goregaon West Mumbai,1330
Unfurnished,2,3,37500000,3,Goregaon West Mumbai,1080
Unfurnished,1,1,7900000,1,Goregaon West Mumbai,361
Unfurnished,1,3,30000000,3,Goregaon West Mumbai,968
Semi-Furnished,1,2,9000000,1,Goregaon West Mumbai,419
Furnished,2,3,87500000,4,Goregaon West Mumbai,1550
Unfurnished,1,3,29500000,3,Goregaon West Mumbai,902
Semi-Furnished,1,2,19000000,2,Goregaon West Mumbai,650
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,1260
Furnished,1,1,12900000,1,Goregaon West Mumbai,450
Unfurnished,1,2,18500000,2,Goregaon West Mumbai,677
Unfurnished,1,2,15500000,2,Goregaon West Mumbai,620
Unfurnished,1,2,23500000,2,Goregaon West Mumbai,1100
Unfurnished,1,3,28000000,3,Goregaon West Mumbai,968
Unfurnished,1,3,26500000,3,Goregaon West Mumbai,896
Semi-Furnished,1,2,13900000,2,Goregaon West Mumbai,565
Semi-Furnished,1,2,18600000,2,Goregaon West Mumbai,677
Semi-Furnished,1,2,21000000,2,Goregaon West Mumbai,750
Unfurnished,1,3,49800000,3,Goregaon West Mumbai,1274
Unfurnished,1,2,18500000,2,Goregaon West Mumbai,645
Unfurnished,1,3,29100000,3,Goregaon West Mumbai,1084
Semi-Furnished,1,2,20000000,2,Goregaon West Mumbai,645
Unfurnished,1,2,27100000,2,Goregaon West Mumbai,921
Unfurnished,1,2,21500000,2,Goregaon West Mumbai,866
Unfurnished,1,1,9500000,1,Goregaon West Mumbai,427
Unfurnished,1,2,11000000,1,Goregaon West Mumbai,395
Furnished,1,2,14000000,2,Goregaon West Mumbai,624
Unfurnished,1,3,42000000,3,Goregaon West Mumbai,1174
Semi-Furnished,1,5,47500000,4,Goregaon West Mumbai,1510
Unfurnished,1,2,35200000,2,Goregaon West Mumbai,881
Unfurnished,1,3,27600000,3,Goregaon West Mumbai,945
Unfurnished,1,2,15700000,2,Goregaon West Mumbai,650
Semi-Furnished,1,2,21500000,2,Goregaon West Mumbai,698
Unfurnished,1,2,36500000,2,Goregaon West Mumbai,913
Unfurnished,1,2,23500000,2,Goregaon West Mumbai,670
Unfurnished,1,2,18000000,2,Goregaon West Mumbai,698
Unfurnished,1,2,14500000,2,Goregaon West Mumbai,670
Unfurnished,1,2,9000000,1,Goregaon West Mumbai,720
Unfurnished,1,2,10900000,1,Goregaon West Mumbai,474
Unfurnished,1,2,29000000,3,Goregaon West Mumbai,1100
Unfurnished,1,2,20000000,2,Goregaon West Mumbai,680
Unfurnished,1,2,13400000,2,Goregaon West Mumbai,600
Unfurnished,2,3,38000000,3,Goregaon West Mumbai,1118
Unfurnished,1,3,23800000,2,Goregaon West Mumbai,758
Unfurnished,1,2,12000000,2,Goregaon West Mumbai,475
Unfurnished,1,3,27500000,3,Goregaon West Mumbai,886
Furnished,1,2,25000000,2,Goregaon West Mumbai,800
Furnished,1,2,18000000,2,Goregaon West Mumbai,648
Unfurnished,2,4,35000000,5,Goregaon West Mumbai,1566
Unfurnished,1,2,15000000,2,Goregaon West Mumbai,650
Semi-Furnished,1,1,13500000,1,Goregaon West Mumbai,720
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Furnished,1,4,90000000,4,Goregaon West Mumbai,720
Semi-Furnished,2,3,47500000,3,Goregaon West Mumbai,1100
Semi-Furnished,1,3,20000000,3,Goregaon West Mumbai,860
Unfurnished,1,2,33500000,2,Goregaon West Mumbai,906
Unfurnished,1,2,21000000,2,Goregaon West Mumbai,640
Unfurnished,2,4,20000000,3,Goregaon West Mumbai,820
Semi-Furnished,2,1,7000000,1,Goregaon West Mumbai,464
Unfurnished,1,2,20000000,2,Goregaon West Mumbai,703
Unfurnished,1,2,30000000,2,Goregaon West Mumbai,881
Unfurnished,1,2,27500000,2,Goregaon West Mumbai,900
Unfurnished,1,2,16500000,2,Goregaon West Mumbai,645
Unfurnished,1,1,9900000,1,Goregaon West Mumbai,400
Unfurnished,1,2,34700000,2,Goregaon West Mumbai,913
Semi-Furnished,2,3,39500000,3,Goregaon West Mumbai,100
Unfurnished,2,3,23000000,3,Goregaon West Mumbai,840
Unfurnished,3,5,80000000,4,Goregaon West Mumbai,2164
Unfurnished,1,2,12400000,2,Goregaon West Mumbai,508
Unfurnished,1,1,6600000,1,Goregaon West Mumbai,279
Unfurnished,1,4,66000000,4,Goregaon West Mumbai,1510
Unfurnished,1,2,12500000,2,Goregaon West Mumbai,500
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,698
Unfurnished,1,2,25000000,2,Goregaon West Mumbai,825
Semi-Furnished,1,3,35000000,3,Goregaon West Mumbai,1050
Unfurnished,1,2,18500000,2,Goregaon West Mumbai,688
Unfurnished,1,3,42500000,3,Goregaon West Mumbai,1500
Unfurnished,1,3,30000000,3,Goregaon West Mumbai,1050
Unfurnished,1,2,20700000,2,Goregaon West Mumbai,665
Furnished,1,2,30000000,3,Goregaon West Mumbai,921
Unfurnished,1,2,13000000,2,Goregaon West Mumbai,620
Unfurnished,1,2,11000000,1,Goregaon West Mumbai,412
Unfurnished,1,2,14000000,2,Goregaon West Mumbai,498
Unfurnished,1,3,25900000,3,Goregaon West Mumbai,894
Unfurnished,1,4,65000000,4,Goregaon West Mumbai,1420
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1330
Unfurnished,2,3,30000000,3,Goregaon West Mumbai,1145
Unfurnished,1,1,13000000,2,Goregaon West Mumbai,478
Unfurnished,1,2,14300000,2,Goregaon West Mumbai,676
Semi-Furnished,1,2,15500000,2,Goregaon West Mumbai,625
Semi-Furnished,1,2,24000000,2,Goregaon West Mumbai,710
Furnished,2,3,41800000,3,Goregaon West Mumbai,1350
Unfurnished,1,3,26000000,3,Goregaon West Mumbai,1036
Unfurnished,1,2,16000000,2,Goregaon West Mumbai,696
Semi-Furnished,1,3,33800000,3,Goregaon West Mumbai,1033
Furnished,2,3,41500000,3,Goregaon West Mumbai,1384
Semi-Furnished,1,2,26000000,2,Goregaon West Mumbai,730
Unfurnished,1,2,27100000,2,Goregaon West Mumbai,905
Furnished,1,3,17500000,3,Goregaon West Mumbai,800
Semi-Furnished,1,2,20000000,2,Goregaon West Mumbai,700
Unfurnished,1,3,23500000,3,Goregaon West Mumbai,750
Unfurnished,1,2,12500000,2,Goregaon West Mumbai,613
Furnished,1,2,20500000,2,Goregaon West Mumbai,618
Unfurnished,1,2,20000000,2,Goregaon West Mumbai,625
Semi-Furnished,1,2,23500000,2,Goregaon West Mumbai,866
Unfurnished,1,2,18000000,2,Goregaon West Mumbai,627
Semi-Furnished,1,2,19000000,2,Goregaon West Mumbai,700
Unfurnished,1,2,35000000,2,Goregaon West Mumbai,913
Unfurnished,1,2,11100000,1,Goregaon West Mumbai,413
Furnished,1,2,21500000,2,Goregaon West Mumbai,720
Semi-Furnished,1,3,17500000,3,Goregaon West Mumbai,676
Semi-Furnished,1,2,28000000,2,Goregaon West Mumbai,720
Unfurnished,1,2,40000000,3,Goregaon West Mumbai,720
Unfurnished,1,2,9780000,1,Goregaon West Mumbai,440
Furnished,2,4,62500000,4,Goregaon West Mumbai,2000
Semi-Furnished,1,2,13500000,2,Goregaon West Mumbai,680
Semi-Furnished,1,2,16000000,2,Goregaon West Mumbai,664
Unfurnished,1,2,11500000,2,Goregaon West Mumbai,541
Unfurnished,1,2,8600000,1,Goregaon West Mumbai,425
Unfurnished,1,7,100000000,6,Goregaon West Mumbai,2700
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,931
Furnished,2,4,65000000,4,Goregaon West Mumbai,1900
Unfurnished,1,3,31500000,3,Goregaon West Mumbai,1035
Unfurnished,1,2,24000000,2,Goregaon West Mumbai,807
Semi-Furnished,1,5,32500000,3,Goregaon West Mumbai,1347
Unfurnished,1,2,19500000,2,Goregaon West Mumbai,703
Unfurnished,1,2,19000000,2,Goregaon West Mumbai,670
Unfurnished,1,2,19500000,2,Goregaon West Mumbai,703
Unfurnished,1,2,10700000,1,Goregaon West Mumbai,470
Unfurnished,1,2,21000000,2,Goregaon West Mumbai,645
Unfurnished,1,2,17400000,2,Goregaon West Mumbai,645
Semi-Furnished,1,3,32000000,3,Goregaon West Mumbai,1250
Semi-Furnished,1,2,9250000,1,Goregaon West Mumbai,380
Unfurnished,2,3,42500000,3,Goregaon West Mumbai,1060
Unfurnished,1,1,1500000,1,Goregaon West Mumbai,720
Furnished,1,2,17500000,2,Goregaon West Mumbai,720
Furnished,1,1,11500000,1,Goregaon West Mumbai,720
Furnished,1,2,13000000,1,Goregaon West Mumbai,720
Semi-Furnished,1,2,18500000,2,Goregaon West Mumbai,698
Unfurnished,1,2,11700000,1,Goregaon West Mumbai,720
Unfurnished,1,2,10000000,1,Goregaon West Mumbai,720
Furnished,1,2,31500000,2,Goregaon West Mumbai,720
Unfurnished,1,1,8400000,1,Goregaon West Mumbai,442
Semi-Furnished,1,1,5500000,1,Goregaon West Mumbai,720
Furnished,1,2,14500000,1,Goregaon West Mumbai,720
Furnished,1,3,57000000,3,Goregaon West Mumbai,1100
Unfurnished,1,2,18000000,2,Goregaon West Mumbai,786
Unfurnished,1,2,2600000,1,Goregaon West Mumbai,250
Semi-Furnished,1,2,14000000,2,Goregaon West Mumbai,720
Unfurnished,1,1,6900000,1,Goregaon West Mumbai,280
Semi-Furnished,1,2,30000000,2,Goregaon West Mumbai,1070
Unfurnished,1,2,11500000,1,Goregaon West Mumbai,720
Semi-Furnished,1,1,11500000,1,Goregaon West Mumbai,410
Semi-Furnished,1,3,32500000,3,Goregaon West Mumbai,1250
Semi-Furnished,1,2,9800000,1,Goregaon West Mumbai,720
Semi-Furnished,1,2,8500000,1,Goregaon West Mumbai,720
Unfurnished,1,2,18000000,4,Goregaon West Mumbai,720
Semi-Furnished,1,2,12500000,2,Goregaon West Mumbai,720
Furnished,1,2,13500000,2,Goregaon West Mumbai,720
Unfurnished,1,1,7000000,1,Goregaon West Mumbai,720
Furnished,1,2,27500000,2,Goregaon West Mumbai,720
Unfurnished,1,1,1000000,1,Goregaon West Mumbai,720
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,720
Semi-Furnished,1,2,30000000,2,Goregaon West Mumbai,720
Furnished,1,1,950000,1,Goregaon West Mumbai,90
Unfurnished,1,2,26000000,2,Goregaon West Mumbai,720
Unfurnished,1,2,18000000,3,Goregaon West Mumbai,783
Furnished,1,2,18500000,2,Goregaon West Mumbai,800
Furnished,1,2,25000000,2,Goregaon West Mumbai,620
Semi-Furnished,1,1,10000000,1,Goregaon West Mumbai,584
Semi-Furnished,1,1,25000000,3,Goregaon West Mumbai,900
Semi-Furnished,1,1,65000000,4,Goregaon West Mumbai,2795
Furnished,1,2,13000000,2,Goregaon West Mumbai,720
Semi-Furnished,1,2,8000000,1,Goregaon West Mumbai,720
Unfurnished,1,1,7000000,3,Goregaon West Mumbai,720
Unfurnished,1,1,10500000,1,Goregaon West Mumbai,420
Furnished,1,2,21000000,2,Goregaon West Mumbai,720
Unfurnished,1,2,13000000,1,Goregaon West Mumbai,720
Unfurnished,1,2,19000000,2,Goregaon West Mumbai,720
Unfurnished,1,3,45000000,3,Goregaon West Mumbai,720
Furnished,1,2,15000000,1,Goregaon West Mumbai,720
Semi-Furnished,1,2,16000000,2,Goregaon West Mumbai,720
Unfurnished,1,2,19500000,2,Goregaon West Mumbai,782
Unfurnished,2,3,21000000,2,Goregaon West Mumbai,788
Furnished,1,3,28000000,3,Goregaon West Mumbai,720
Semi-Furnished,1,2,21400000,2,Goregaon West Mumbai,720
Semi-Furnished,1,2,14500000,1,Goregaon West Mumbai,450
Furnished,1,4,140000000,4,Goregaon West Mumbai,720
Furnished,1,3,19000000,3,Goregaon West Mumbai,720
Semi-Furnished,1,3,31000000,3,Goregaon West Mumbai,720
Furnished,1,2,14000000,2,Goregaon West Mumbai,540
Unfurnished,1,1,8500000,1,Goregaon West Mumbai,360
Unfurnished,1,1,21500000,2,Goregaon West Mumbai,720
Furnished,1,2,20000000,3,Goregaon West Mumbai,829
Furnished,1,5,150000000,4,Goregaon West Mumbai,720
Unfurnished,1,1,7700000,1,Goregaon West Mumbai,720
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,280
Furnished,1,2,18700000,2,Goregaon West Mumbai,629
Unfurnished,1,1,28654375,1,Goregaon West Mumbai,380
Furnished,1,2,28654375,3,Goregaon West Mumbai,1060
Furnished,1,1,28654375,1,Goregaon West Mumbai,720
Furnished,1,1,28654375,1,Goregaon West Mumbai,2000
Furnished,1,2,28654375,2,Goregaon West Mumbai,720
Semi-Furnished,1,2,28654375,2,Goregaon West Mumbai,720
Furnished,1,4,28654375,4,Goregaon West Mumbai,1700
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
Unfurnished,1,2,17000000,2,Goregaon West Mumbai,670
Unfurnished,1,1,8000000,1,Goregaon West Mumbai,425
Furnished,1,4,90000000,3,Goregaon West Mumbai,1600
Unfurnished,1,2,22100000,3,Goregaon West Mumbai,1030
Unfurnished,1,3,38500000,3,Goregaon West Mumbai,885
Semi-Furnished,1,1,7200000,1,Goregaon West Mumbai,330
Unfurnished,1,2,15200000,2,Goregaon West Mumbai,720
Furnished,1,2,13000000,2,Goregaon West Mumbai,470
Unfurnished,1,2,16900000,2,Goregaon West Mumbai,690
Unfurnished,1,5,58500000,5,Goregaon West Mumbai,1800
Unfurnished,1,3,31000000,3,Goregaon West Mumbai,1035
Semi-Furnished,1,3,33500000,3,Goregaon West Mumbai,1000
Unfurnished,1,2,15900000,2,Goregaon West Mumbai,600
Unfurnished,1,1,10000000,1,Goregaon West Mumbai,390
Unfurnished,1,2,14400000,2,Goregaon West Mumbai,624
Unfurnished,1,2,10500000,1,Goregaon West Mumbai,395
Unfurnished,1,2,9570000,1,Goregaon West Mumbai,435
Unfurnished,1,2,24200000,2,Goregaon West Mumbai,905
Semi-Furnished,2,3,34000000,3,Goregaon West Mumbai,1088
Unfurnished,2,3,52500000,3,Goregaon West Mumbai,1446
